Constituency,Leading Party,Trailing Party,Margin
Tadepalligudem,Janasena Party,Yuvajana Sramika Rythu Congress Party,62492
Pathapatnam,Telugu Desam,Yuvajana Sramika Rythu Congress Party,26527
Pattikonda,Telugu Desam,Yuvajana Sramika Rythu Congress Party,14211
Payakaraopet ,Telugu Desam,Yuvajana Sramika Rythu Congress Party,43727
Pedakurapadu,Telugu Desam,Yuvajana Sramika Rythu Congress Party,21089
Gannavaram,Telugu Desam,Yuvajana Sramika Rythu Congress Party,37628
Gannavaram(SC),Janasena Party,Yuvajana Sramika Rythu Congress Party,33367
Giddalur,Telugu Desam,Yuvajana Sramika Rythu Congress Party,973
Gopalapuram ,Telugu Desam,Yuvajana Sramika Rythu Congress Party,26784
Madakasira (SC),Telugu Desam,Yuvajana Sramika Rythu Congress Party,351
Madanapalle,Telugu Desam,Yuvajana Sramika Rythu Congress Party,5509
Madugula,Telugu Desam,Yuvajana Sramika Rythu Congress Party,28026
Mandapeta,Telugu Desam,Yuvajana Sramika Rythu Congress Party,44435
Mangalagiri,Telugu Desam,Yuvajana Sramika Rythu Congress Party,91413
Mantralayam,Yuvajana Sramika Rythu Congress Party,Telugu Desam,12805
Jaggampeta,Telugu Desam,Yuvajana Sramika Rythu Congress Party,52676
Jaggayyapeta,Telugu Desam,Yuvajana Sramika Rythu Congress Party,15977
Jammalamadugu,Bharatiya Janata Party,Yuvajana Sramika Rythu Congress Party,17191
Kadapa,Telugu Desam,Yuvajana Sramika Rythu Congress Party,18860
Kadiri,Telugu Desam,Yuvajana Sramika Rythu Congress Party,6265
Kaikalur,Bharatiya Janata Party,Yuvajana Sramika Rythu Congress Party,45273
Tadikonda (SC),Telugu Desam,Yuvajana Sramika Rythu Congress Party,39606
Tadpatri,Telugu Desam,Yuvajana Sramika Rythu Congress Party,27731
Tanuku,Telugu Desam,Yuvajana Sramika Rythu Congress Party,72121
Tekkali,Telugu Desam,Yuvajana Sramika Rythu Congress Party,34435
Tenali,Janasena Party,Yuvajana Sramika Rythu Congress Party,48112
Thamballapalle,Yuvajana Sramika Rythu Congress Party,Telugu Desam,10103
Tirupati,Janasena Party,Yuvajana Sramika Rythu Congress Party,61956
Tiruvuru (SC),Telugu Desam,Yuvajana Sramika Rythu Congress Party,21874
Pedana,Telugu Desam,Yuvajana Sramika Rythu Congress Party,38123
Peddapuram,Telugu Desam,Yuvajana Sramika Rythu Congress Party,40451
Penamaluru,Telugu Desam,Yuvajana Sramika Rythu Congress Party,59915
Pendurthi,Janasena Party,Yuvajana Sramika Rythu Congress Party,81870
Penukonda,Telugu Desam,Yuvajana Sramika Rythu Congress Party,33388
Pileru,Telugu Desam,Yuvajana Sramika Rythu Congress Party,25081
Pithapuram,Janasena Party,Yuvajana Sramika Rythu Congress Party,70279
Polavaram ,Janasena Party,Yuvajana Sramika Rythu Congress Party,7935
Ponnur,Telugu Desam,Yuvajana Sramika Rythu Congress Party,32915
Prathipadu,Telugu Desam,Yuvajana Sramika Rythu Congress Party,38768
Prathipadu (SC),Telugu Desam,Yuvajana Sramika Rythu Congress Party,42015
Gudivada,Telugu Desam,Yuvajana Sramika Rythu Congress Party,53040
Markapuram,Telugu Desam,Yuvajana Sramika Rythu Congress Party,13979
Mummidivaram,Telugu Desam,Yuvajana Sramika Rythu Congress Party,38736
Mydukur,Telugu Desam,Yuvajana Sramika Rythu Congress Party,20950
Kakinada City,Telugu Desam,Yuvajana Sramika Rythu Congress Party,56572
Kakinada Rural,Janasena Party,Yuvajana Sramika Rythu Congress Party,72040
Kalyandurg,Telugu Desam,Yuvajana Sramika Rythu Congress Party,37734
Kamalapuram,Telugu Desam,Yuvajana Sramika Rythu Congress Party,25357
Kandukur,Telugu Desam,Yuvajana Sramika Rythu Congress Party,18558
Kanigiri,Telugu Desam,Yuvajana Sramika Rythu Congress Party,14604
Kavali,Telugu Desam,Yuvajana Sramika Rythu Congress Party,30948
Tuni,Telugu Desam,Yuvajana Sramika Rythu Congress Party,15177
Udayagiri,Telugu Desam,Yuvajana Sramika Rythu Congress Party,9621
Undi,Telugu Desam,Yuvajana Sramika Rythu Congress Party,56777
Ungutur,Janasena Party,Yuvajana Sramika Rythu Congress Party,44945
Proddatur,Telugu Desam,Yuvajana Sramika Rythu Congress Party,22744
