Constituency,Leading Party,Trailing Party,Margin
Champua,Biju Janata Dal,Bharatiya Janata Party,39994
Chandabali,Biju Janata Dal,Bharatiya Janata Party,1916
Chhatrapur,Bharatiya Janata Party,Biju Janata Dal,11438
Jatani,Biju Janata Dal,Bharatiya Janata Party,25221
Jayadev,Biju Janata Dal,Bharatiya Janata Party,21473
Bhadrak,Bharatiya Janata Party,Biju Janata Dal,16068
Bhandaripokhari,Biju Janata Dal,Indian National Congress,1551
Bhanjanagar,Bharatiya Janata Party,Biju Janata Dal,16324
Bhatli,Bharatiya Janata Party,Biju Janata Dal,27892
Nimapara,Bharatiya Janata Party,Biju Janata Dal,4588
Nuapada,Biju Janata Dal,Independent,10881
Padampur,Biju Janata Dal,Bharatiya Janata Party,10993
Pallahara,Bharatiya Janata Party,Biju Janata Dal,7563
Paradeep,Bharatiya Janata Party,Biju Janata Dal,15787
Chhendipada,Bharatiya Janata Party,Biju Janata Dal,15063
Chikiti,Bharatiya Janata Party,Biju Janata Dal,6522
Chilika,Bharatiya Janata Party,Biju Janata Dal,4566
Jeypore,Indian National Congress,Biju Janata Dal,13111
Jharigam,Bharatiya Janata Party,Biju Janata Dal,3278
Jharsuguda,Bharatiya Janata Party,Biju Janata Dal,1333
Junagarh,Biju Janata Dal,Bharatiya Janata Party,1338
Kabisuryanagar,Bharatiya Janata Party,Biju Janata Dal,30173
Bhawanipatna,Indian National Congress,Bharatiya Janata Party,13741
Bhograi,Biju Janata Dal,Indian National Congress,6564
Bhubaneswar Central,Biju Janata Dal,Bharatiya Janata Party,37
Bhubaneswar North,Biju Janata Dal,Bharatiya Janata Party,11343
Paralakhemundi,Biju Janata Dal,Bharatiya Janata Party,3998
Parjanga,Bharatiya Janata Party,Biju Janata Dal,32162
Patkura,Biju Janata Dal,Bharatiya Janata Party,13822
Patna,Bharatiya Janata Party,Biju Janata Dal,37979
Chitrakonda,Indian National Congress,Bharatiya Janata Party,9159
Choudwar-Cuttack,Biju Janata Dal,Bharatiya Janata Party,17816
Cuttack Sadar,Bharatiya Janata Party,Biju Janata Dal,3809
Dabugam,Biju Janata Dal,Indian National Congress,21455
Kakatpur,Biju Janata Dal,Bharatiya Janata Party,23151
Kamakhyanagar,Bharatiya Janata Party,Biju Janata Dal,4662
Kantabanji,Bharatiya Janata Party,Biju Janata Dal,16344
Kantamal,Bharatiya Janata Party,Biju Janata Dal,7149
Bijepur,Bharatiya Janata Party,Biju Janata Dal,10066
Binjharpur,Biju Janata Dal,Bharatiya Janata Party,2856
Biramitrapur,Biju Janata Dal,Bharatiya Janata Party,6884
Birmaharajpur,Bharatiya Janata Party,Biju Janata Dal,21946
Patnagarh,Bharatiya Janata Party,Biju Janata Dal,1357
Phulbani,Bharatiya Janata Party,Biju Janata Dal,2858
Pipili,Bharatiya Janata Party,Biju Janata Dal,15162
Polasara,Bharatiya Janata Party,Biju Janata Dal,20946
Pottangi,Indian National Congress,Biju Janata Dal,1919
Daspalla,Biju Janata Dal,Bharatiya Janata Party,6296
Deogarh,Biju Janata Dal,Bharatiya Janata Party,15792
Dhamnagar,Bharatiya Janata Party,Biju Janata Dal,8095
Dharamgarh,Bharatiya Janata Party,Biju Janata Dal,18927
Dharmasala,Independent,Biju Janata Dal,4150
Bissam Cuttack,Indian National Congress,Biju Janata Dal,9403
Bolangir,Biju Janata Dal,Indian National Congress,13409
Bonai,Communist Party of India  (Marxist),Biju Janata Dal,23439
Boudh,Bharatiya Janata Party,Biju Janata Dal,2765
Brahmagiri,Bharatiya Janata Party,Biju Janata Dal,9830
Puri,Biju Janata Dal,Bharatiya Janata Party,5178
Raghunathpali,Bharatiya Janata Party,Biju Janata Dal,5774
Dhenkanal,Bharatiya Janata Party,Biju Janata Dal,20439
Digapahandi,Bharatiya Janata Party,Biju Janata Dal,16847
Ekamra-Bhubaneswar,Bharatiya Janata Party,Biju Janata Dal,5023
G. Udayagiri,Indian National Congress,Bharatiya Janata Party,7857
