parliament constituency,winning candidate,total votes,Margin
Ladakh(1),MOHMAD HANEEFA,65259,27862
Mirzapur(79),ANUPRIYA PATEL,471631,37810
Giridih(6),CHANDRA PRAKASH CHOUDHARY,451139,80880
Hyderabad(9),ASADUDDIN OWAISI,661981,338087
BANSWARA (20),RAJ KUMAR ROAT,820831,247054
Nagina(5),CHANDRASHEKHAR,512552,151473
Sikkim(1),INDRA HANG SUBBA,164396,80830
TIRUCHIRAPPALLI(24),DURAI VAIKO,542213,313094
Shillong(1),DR. RICKY ANDREW J. SYNGKON,571078,371910
MIZORAM(1),RICHARD VANLALHMANGAIHA,208552,68288
Bathinda(11),HARSIMRAT KAUR BADAL,376558,49656
NAGAUR(14),HANUMAN BENIWAL,596955,42225
Kottayam(14),ADV K FRANCIS GEORGE,364631,87266
Raigad(32),TATKARE SUNIL DATTATREY,508352,82784
Kollam(18),N K PREMACHANDRAN,443628,150302
Gaya(38),JITAN RAM MANJHI,494960,101812
Barpeta(3),PHANI BHUSAN CHOUDHURY,860113,222351
Kokrajhar (1),JOYANTA BASUMATARY,488995,51583
Anakapalle(5),C.M.RAMESH,762069,296530
Rajahmundry(8),DAGGUBATI PURANDHESHWARI,726515,239139
Narsapuram(9),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),707343,276802
Arunachal West(1),KIREN RIJIJU,205417,100738
Arunachal East(2),TAPIR GAO,145581,30421
Darrang-Udalguri(4),DILIP SAIKIA,868387,329012
Guwahati(5),BIJULI KALITA MEDHI,894887,251090
Diphu(6),AMARSING TISSO,334620,147603
Karimganj(7),KRIPANATH MALLAH,545093,18360
Silchar (8),PARIMAL SUKLABAIDYA,652405,264311
Kaziranga(10),KAMAKHYA PRASAD TASA,897043,248947
Sonitpur(11),RANJIT DUTTA,775788,361408
Lakhimpur(12),PRADAN BARUAH,663122,201257
Dibrugarh(13),SARBANANDA SONOWAL,693762,279321
Paschim Champaran(2),DR.SANJAY JAISWAL,580421,136568
Purvi Champaran(3),RADHA MOHAN SINGH,542193,88287
Madhubani(6),ASHOK KUMAR YADAV,553428,151945
Araria(9),PRADEEP KUMAR SINGH,600146,20094
Dhubri (2),RAKIBUL HUSSAIN,1471885,1012476
Nagaon(9),PRADYUT BORDOLOI,788850,212231
Jorhat(14),GAURAV GOGOI,751771,144393
Kishanganj(10),MOHAMMAD JAWED,402850,59692
Katihar(11),TARIQ ANWAR,567092,49863
Sasaram(34),MANOJ KUMAR,513004,19157
South Goa(2),CAPTAIN  VIRIATO FERNANDES,217836,13535
Darbhanga(14),GOPAL JEE THAKUR,566630,178156
Muzaffarpur(15),RAJ BHUSHAN CHOUDHARY,619749,234927
Maharajganj(19),"JANARDAN SINGH ""SIGRIWAL""",529533,102651
Saran(20),RAJIV PRATAP RUDY,471752,13661
Ujiarpur(22),NITYANAND RAI,515965,60102
