parliament constituency,winning candidate,total votes,Margin
Amroha(9),KANWAR SINGH TANWAR,476506,28670
Meerut(10),ARUN GOVIL,546469,10585
Ghaziabad(12),ATUL GARG,854170,336965
Gautam Buddha Nagar(13),DR. MAHESH SHARMA,857829,559472
Bulandshahr(14),DR BHOLA SINGH,597310,275134
Aligarh(15),SATISH KUMAR GAUTAM,501834,15647
Hathras(16),ANOOP PRADHAN BALMIKI,554746,247318
Mathura(17),HEMAMALINI DHARMENDRA DEOL,510064,293407
Agra(18),PROF S P SINGH BAGHEL,599397,271294
Fatehpur Sikri(19),RAJKUMAR CHAHAR,445657,43405
Bareilly(25),CHHATRA PAL SINGH GANGWAR,567127,34804
Pilibhit(26),JITIN PRASADA,607158,164935
Shahjahanpur(27),ARUN KUMAR SAGAR,592718,55379
Hardoi(31),JAI PRAKASH,486798,27856
Misrikh(32),ASHOK KUMAR RAWAT,475016,33406
Unnao(33),SWAMI SACHCHIDANAND HARI SAKSHI,616133,35818
Lucknow(35),RAJ NATH SINGH,612709,135159
Farrukhabad(40),MUKESH RAJPUT,487963,2678
Kanpur(43),RAMESH AWASTHI,443055,20968
Akbarpur(44),DEVENDRA SINGH ALIAS BHOLE SINGH,517423,44345
Jhansi(46),ANURAG SHARMA,690316,102614
Phulpur(51),PRAVEEN PATEL,452600,4332
Baharaich(56),ANAND KUMAR,518802,64227
Kaiserganj(57),KARAN BHUSHAN SINGH,571263,148843
Gonda(59),KIRTIVARDHAN SINGH,474258,46224
Domariyaganj(60),JAGDAMBIKA PAL,463303,42728
Maharajganj(63),PANKAJ CHAUDHARY,591310,35451
Gorakhpur(64),RAVINDRA SHUKLA ALIAS RAVI KISHAN,585834,103526
Kushi Nagar(65),VIJAY KUMAR DUBAY,516345,81790
Deoria(66),SHASHANK MANI,504541,34842
Bansgaon(67),KAMLESH PASWAN,428693,3150
Varanasi(77),NARENDRA MODI,612970,152513
Bhadohi(78),DR. VINOD KUMAR BIND,459982,44072
Alipurduars(2),MANOJ TIGGA,695314,75447
Jalpaiguri(3),DR JAYANTA KUMAR ROY,766568,86693
Darjeeling(4),RAJU BISTA,679331,178525
Raiganj(5),KARTICK CHANDRA PAUL,560897,68197
Balurghat(6),SUKANTA MAJUMDAR,574996,10386
Maldaha Uttar(7),KHAGEN MURMU,527023,77708
Ranaghat(13),JAGANNATH SARKAR,782396,186899
Bangaon(14),SHANTANU THAKUR,719505,73693
Tamluk(30),ABHIJIT GANGOPADHYAY,765584,77733
Kanthi(31),ADHIKARI SOUMENDU,763195,47764
Purulia(35),JYOTIRMAY SINGH MAHATO,578489,17079
Bishnupur(37),KHAN SAUMITRA,680130,5567
SURGUJA(1),CHINTAMANI MAHARAJ,713200,64822
RAIGARH(2),RADHESHYAM RATHIYA,808275,240391
JANJGIR-CHAMPA(3),KAMLESH JANGDE,678199,60000
BILASPUR(5),TOKHAN SAHU,724937,164558
RAJNANDGAON(6),SANTOSH PANDEY,712057,44411
DURG(7),VIJAY BAGHEL,956497,438226
RAIPUR(8),BRIJMOHAN AGRAWAL,1050351,575285
MAHASAMUND(9),ROOP KUMARI CHOUDHARY,703659,145456
BASTAR(10),MAHESH KASHYAP,458398,55245
KANKER(11),BHOJRAJ NAG,597624,1884
Godda(3),NISHIKANT DUBEY,693140,101813
Chatra(4),KALI CHARAN SINGH,574556,220959
Kodarma(5),ANNPURNA DEVI,791657,377014
Dhanbad(7),DULU MAHATO,789172,331583
Ranchi(8),SANJAY SETH,664732,120512
Jamshedpur(9),BIDYUT BARAN MAHATO,726174,259782
Palamau(13),VISHNU DAYAL RAM,770362,288807
Hazaribagh(14),MANISH JAISWAL,654613,276686
Tehri Garhwal(1),MALA RAJYA LAKSHMI SHAH,462603,272493
Garhwal(2),ANIL BALUNI,432159,163503
Almora(3),AJAY TAMTA,429167,234097
Nainital-Udhamsingh Nagar(4),AJAY BHATT,772671,334548
Haridwar(5),TRIVENDRA SINGH RAWAT,653808,164056
Adilabad (1),GODAM NAGESH,568168,90652
Karimnagar (3),BANDI SANJAY KUMAR,585116,225209
Nizamabad(4),ARVIND DHARMAPURI,592318,109241
Medak(6),MADHAVANENI RAGHUNANDAN RAO,471217,39139
Malkajgiri(7),EATALA RAJENDER,991042,391475
Secunderabad(8),G. KISHAN REDDY,473012,49944
Chevella(10),KONDA VISHWESHWAR REDDY,809882,172897
Mahbubnagar(11),ARUNA. D. K,510747,4500
Andaman & Nicobar Islands(1),BISHNU PADA RAY,102436,24396
Dadar & Nagar Haveli(2),DELKAR KALABEN MOHANBHAI,121074,57584
Chandni Chowk(1),PRAVEEN KHANDELWAL,516496,89325
North-East Delhi(2),MANOJ TIWARI,824451,138778
East Delhi(3),HARSH MALHOTRA,664819,93663
New Delhi(4),BANSURI SWARAJ,453185,78370
North-West Delhi(5),YOGENDER CHANDOLIYA,866483,290849
West Delhi(6),KAMALJEET SEHRAWAT,842658,199013
South Delhi(7),RAMVIR SINGH BIDHURI,692832,124333
UDHAMPUR(4),DR JITENDRA SINGH,571076,124373
JAMMU(5),JUGAL KISHORE,687588,135498
